ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
388	STASYS JAKELIŪNAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	9	-	2. Senamiesčio	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	66613	107336	25303	34000	36726	3703,62	229	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102422.0%26rnkId%3D426			
389	SAULIUS JAKIMAVIČIUS	8. Darbo partija	37	-	60. Jonavos	8. Darbo partija	I	108900	10000	31880	0	0	26543	3873	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100542.0%26rnkId%3D426			
390	LORETA JAKINEVIČIENĖ	5. Partija Tvarka ir teisingumas	20	-			I	37270	0	24453	0	0	22046,27	2266	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102342.0%26rnkId%3D426			
391	VYTAS JAKOBSEVIČIUS	3. Lietuvos laisvės sąjunga (liberalai)	88	-			I	5100	0	0	0	35000	11801,8	1396	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102964.0%26rnkId%3D426			
392	VALDEMARAS JAKŠTAS	7. Lietuvos Respublikos liberalų sąjūdis	33	-	26. Nevėžio	7. Lietuvos Respublikos liberalų sąjūdis	I	47007	0	20084	0	404	29543,54	4269	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103502.0%26rnkId%3D426			
393	EDMUNDAS JAKUBAUSKAS	7. Lietuvos Respublikos liberalų sąjūdis	56	-			I	59000	0	144800	0	0	8712,58	280	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103588.0%26rnkId%3D426			
394	FRANC JAKUBOVSKIJ	5. Partija Tvarka ir teisingumas	71	-	57. Medininkų	5. Partija Tvarka ir teisingumas	I	117000	0	11389	0	0	14748,22	2060	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102228.0%26rnkId%3D426			
395	RAIMONDA JAKUTIENĖ	12. Lietuvos žaliųjų partija	31	-			I	2300	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104014.0%26rnkId%3D426			
396	STANISLAVAS JAKUTIS	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	70	-			I	40820	0	48560	0	2104	2383,26	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103086.0%26rnkId%3D426			
397	GEDIMINAS JANAVIČIUS	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	15	-			I	44821	0	4984	0	0	11587,46	1736	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103050.0%26rnkId%3D426			
398	DONATAS JANČARAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	29	-	34. Tauragės	Lietuvos centro partija	I	0	0	0	0	21000	3306,88	136	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104534.0%26rnkId%3D426			
399	MARGARITA JANKAUSKAITĖ	1. Lietuvos socialdemokratų partija	90	-			I	141861	0	5850	0	13000	25518,7	2764	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103876.0%26rnkId%3D426			
400	VITALIJA JANKAUSKAITĖ-MILČIUVIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	73	-	33. Pietų Žemaitijos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	205669	3852	1745	0	190518	15695,52	1919	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102460.0%26rnkId%3D426			
401	DONATAS JANKAUSKAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	40	-	66. Garliavos	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	31977	0	6682	0	3017	36918,48	5378	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104086.0%26rnkId%3D426			
402	RYTIS JANKAUSKAS	5. Partija Tvarka ir teisingumas	60	-	5. Fabijoniškių	5. Partija Tvarka ir teisingumas	I	0	0	14000	0	1742	16683,84	2372	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102148.0%26rnkId%3D426			
403	VYTAUTAS JANKAUSKAS	9. „Drąsos kelias“ politinė partija	16	-			I	2400	4700	1500	0	0	45,94	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102706.0%26rnkId%3D426			
404	ANA JANKOVSKA	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	54	-			I	0	0	0	0	2896	36670,4	773	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103056.0%26rnkId%3D426			
405	ŽANETA JANKOVSKA	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	45	-			I	100	0	0	0	0	14862,48	2057	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103236.0%26rnkId%3D426			
406	AUDRONĖ JANKUVIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	46	-	13. Centro-Žaliakalnio	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	172901	0	15000	0	0	12460,37	1869	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102438.0%26rnkId%3D426			
407	AUŠRA JANULAITIENĖ	12. Lietuvos žaliųjų partija	24	-			I	208000	0	15000	0	0	50469	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104010.0%26rnkId%3D426			
408	GINTARĖ JANULAITYTĖ	1. Lietuvos socialdemokratų partija	121	-			I	52500	0	3000	0	0	20923,92	3134	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103916.0%26rnkId%3D426			
409	MINDAUGAS JANULIONIS	1. Lietuvos socialdemokratų partija	140	-			I	58985	0	0	0	0	12353,24	1809	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103960.0%26rnkId%3D426			
410	ALDONA JANUŠEVIČIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	78	-			I	23200	4952	11196	0	3035	9981,21	1180	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104252.0%26rnkId%3D426			
411	VITOLIS JANUŠEVIČIUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	84	-			I	63882	0	36712	0	24034	55830,79	3903	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104236.0%26rnkId%3D426			
412	VACLOVAS JANUŠKEVIČIUS	8. Darbo partija	135	-			I	220930	5793	37078	0	0	1344,5	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101464.0%26rnkId%3D426			
413	VILHELMINAS JANUŠONIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	118	-			I	324425	0	39738	0	40547	108583,49	990	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104284.0%26rnkId%3D426			
414	TADEUŠ JARMOLOVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	104	-			I	38241	0	15000	0	0	4177,05	355	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103162.0%26rnkId%3D426			
415	RIMANTAS JARUŠKEVIČIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	63	-	32. Šilutės	Lietuvos centro partija	I	234000	176400	11334	27000	0	15468,78	2245	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104506.0%26rnkId%3D426			
416	JONAS JARUTIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	14	-	50. Sėlos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	33740	0	21000	0	34000	14465,1	2088	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102508.0%26rnkId%3D426			
417	KĘSTUTIS JASEVIČIUS	5. Partija Tvarka ir teisingumas	127	-			I	52000	3330	0	0	21500	26360,41	3885	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102414.0%26rnkId%3D426			
418	VALDEMARAS JASEVIČIUS	3. Lietuvos laisvės sąjunga (liberalai)	54	-			I	14629	0	62387	0	0	31077,38	4500	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102934.0%26rnkId%3D426			
419	DANUTĖ JASILIONIENĖ	10. Lietuvos liaudies partija	30	-			I	84900	2896	2200	0	17090	5362,56	469	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103330.0%26rnkId%3D426			
420	ASTA JASIŪNIENĖ	1. Lietuvos socialdemokratų partija	95	-			I	5487	0	0	0	0	14490,69	2030	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103884.0%26rnkId%3D426			
421	RASA JAŠKEVIČIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	82	-			I	130330	0	35126	0	88820	22555,02	2190	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102960.0%26rnkId%3D426			
422	BIRUTĖ JATAUTAITĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	84	-	51. Utenos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	244000	0	595	0	31049	13521,59	1147	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102464.0%26rnkId%3D426			
423	GINTARAS JAZDAUSKAS	10. Lietuvos liaudies partija	21	-	42. Raseinių-Kėdainių	10. Lietuvos liaudies partija	I	48800	1000	1000	0	39800	11186,29	1641	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103270.0%26rnkId%3D426			
424	VLADISLAV JEDINSKIJ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	50	-			I	22783	2462	122000	0	0	22744,17	3412	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103040.0%26rnkId%3D426			
425	ZBIGNEV JEDINSKIJ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	5	-	53. Nalšios	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	36775	0	5700	23000	0	42478,05	4572	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103008.0%26rnkId%3D426			
426	GEDIMINAS JEGELEVIČIUS	7. Lietuvos Respublikos liberalų sąjūdis	85	-			I	162000	40600	54524	0	0	25208,48	2068	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103620.0%26rnkId%3D426			
427	VALERIJ JEMELJANOV	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	90	-			I	15272	0	0	0	0	1788,27	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103108.0%26rnkId%3D426			
428	VIKTORAS JENCIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	41	-	50. Sėlos	Lietuvos centro partija	I	92121	0	18250	0	17345	64705,57	1749	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104570.0%26rnkId%3D426			
429	ANA JESVILIENĖ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	105	-			I	2896	0	0	0	0	10081,68	1363	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103144.0%26rnkId%3D426			
430	ČESLOVAS JEZERSKAS	3. Lietuvos laisvės sąjunga (liberalai)	108	-	66. Garliavos	3. Lietuvos laisvės sąjunga (liberalai)	I	139168	3620	75589	0	23000	2161	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102776.0%26rnkId%3D426			
431	JUOZAS JOKIMAS	5. Partija Tvarka ir teisingumas	90	-			I	205908	5790	35911	0	0	27211,91	3578	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102380.0%26rnkId%3D426			
432	RENATA JOKNIENĖ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	108	-			I	35538	0	0	0	0	21213,34	3005	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103188.0%26rnkId%3D426			
433	LIUDAS JONAITIS	1. Lietuvos socialdemokratų partija	127	-			I	133865	0	29864	0	17378	83285,49	4161	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103926.0%26rnkId%3D426			
434	MARIUS JONAITIS	10. Lietuvos liaudies partija	5	-	17. Petrašiūnų	10. Lietuvos liaudies partija	I	22200	0	0	0	0	3734,33	176	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103296.0%26rnkId%3D426			
435	AUSTĖJA JONAITYTĖ	12. Lietuvos žaliųjų partija	28	-			I	0	0	2300	0	0	10174,73	802	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104040.0%26rnkId%3D426			
436	LINAS JONAUSKAS	1. Lietuvos socialdemokratų partija	56	-	54. Molėtų-Širvintų	1. Lietuvos socialdemokratų partija	I	0	0	10000	0	0	32409,33	4807	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103788.0%26rnkId%3D426			
437	EDMUNDAS JONYLA	1. Lietuvos socialdemokratų partija	33	-	42. Raseinių-Kėdainių	1. Lietuvos socialdemokratų partija	I	94232	0	42641	0	0	122169,2	5259	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103738.0%26rnkId%3D426			
438	IGNAS JONUŠAS	5. Partija Tvarka ir teisingumas	87	-			I	19510	0	38050	0	0	31831,01	2425	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102292.0%26rnkId%3D426			
439	EUGENIJUS JOVAIŠA	6. Lietuvos valstiečių ir žaliųjų sąjunga	4	-			I	0	5000	0	0	0	27077,56	4062	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102602.0%26rnkId%3D426			
440	SERGEJUS JOVAIŠA	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	24	-	49. Anykščių-Panevėžio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	22454	0	3873	0	0	32203,2	4722	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104140.0%26rnkId%3D426			
441	INGRIDA JUCIENĖ	13. Politinė partija „Lietuvos sąrašas“	37	-			I	0	0	0	0	0	6555,89	697	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104416.0%26rnkId%3D426			
442	ARVYDAS JUCIUS	8. Darbo partija	28	-	39. Akmenės-Mažeikių	8. Darbo partija	I	36400	8688	8000	0	6082	14966,58	496	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100648.0%26rnkId%3D426			
443	VYTAUTAS JUCIUS	5. Partija Tvarka ir teisingumas	26	-			I	18083	0	6500	0	0	0,01	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102344.0%26rnkId%3D426			
444	ANDRIUS JUČAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	74	-	30. Alytaus	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	23000	0	7000	0	0	13891,79	2079	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104104.0%26rnkId%3D426			
445	VYTAUTAS JUDICKAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	108	-	68. Vilkaviškio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	20958	0	6796	0	0	17093,42	1893	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104150.0%26rnkId%3D426			
446	DAIVA JUKNEVIČIENĖ	5. Partija Tvarka ir teisingumas	63	-			I	5500	0	1450	0	2500	13925,23	2014	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102384.0%26rnkId%3D426			
447	RASA JUKNEVIČIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	7	-	28. Aukštaitijos	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	66614	0	17536	0	0	37671,72	5502	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104100.0%26rnkId%3D426			
448	KĘSTUTIS JUKNIS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	8	-	13. Centro-Žaliakalnio	Lietuvos centro partija	I	13614	0	40000	0	0	7937	877	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104546.0%26rnkId%3D426			
449	JONAS JUKNIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	51	-	37. Kuršo	Lietuvos centro partija	I	93800	0	20000	20000	0	654,63	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104574.0%26rnkId%3D426			
450	ANTONIJ JUNDO	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	21	-			I	655442	0	131486	190096	103962	1858706,61	8620	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103256.0%26rnkId%3D426			
451	DARIUS JUODAITIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	112	-			I	12743	0	0	0	4309	9515,03	1295	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104276.0%26rnkId%3D426			
452	DAIVA JUODELIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	36	-	28. Aukštaitijos	7. Lietuvos Respublikos liberalų sąjūdis	I	18500	0	0	0	0	10519,21	1473	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103438.0%26rnkId%3D426			
453	BENEDIKTAS JUODKA	1. Lietuvos socialdemokratų partija	14	-	31. Gargždų	1. Lietuvos socialdemokratų partija	I	103267	1448	92494	51551	0	47719,36	5776	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103712.0%26rnkId%3D426			
454	JONAS JUODKA	3. Lietuvos laisvės sąjunga (liberalai)	20	-	4. Žirmūnų	3. Lietuvos laisvės sąjunga (liberalai)	I	48500	0	0	0	0	14796,78	2220	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102856.0%26rnkId%3D426			
455	JŪRATĖ JUOZAITIENĖ	1. Lietuvos socialdemokratų partija	50	-			I	229820	20358	54000	0	0	29527,95	4414	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103850.0%26rnkId%3D426			
456	IRENA IZOLINA JUOZAPAITIENĖ	10. Lietuvos liaudies partija	29	-			I	4000	0	4000	0	0	0,74	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103334.0%26rnkId%3D426			
457	RITA JUOZAPAITIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	94	-			I	79000	0	0	0	0	14571,37	1810	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102910.0%26rnkId%3D426			
458	VYTAUTAS JUOZAPAITIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	8	-	44. Radviliškio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	229426	0	51803	0	18099	35094,86	5157	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104132.0%26rnkId%3D426			
459	VYTAUTAS JUOZAPAITIS	10. Lietuvos liaudies partija	10	-	8. Karoliniškių	10. Lietuvos liaudies partija	I	229426	0	51803	0	18099	35094,86	5157	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104132.0%26rnkId%3D426			
460	VAIDA JUOZAPAITYTĖ	10. Lietuvos liaudies partija	33	-			I	14500	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103338.0%26rnkId%3D426			
461	LINAS JUOZĖNAS	7. Lietuvos Respublikos liberalų sąjūdis	86	-	50. Sėlos	7. Lietuvos Respublikos liberalų sąjūdis	I	16600	0	0	0	0	5072	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103506.0%26rnkId%3D426			
462	KAZIMIERAS JURAITIS	10. Lietuvos liaudies partija	3	-	58. Trakų-Vievio	10. Lietuvos liaudies partija	I	9320	0	0	0	0	2,26	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103276.0%26rnkId%3D426			
463	MINDAUGAS JURČIUS	8. Darbo partija	63	-	35. Plungės	8. Darbo partija	I	73417	0	14897	0	30492	45027,09	3153	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100578.0%26rnkId%3D426			
464	ROMAS JUREVIČIUS	8. Darbo partija	108	-			I	42700	0	19376	0	26239	26783,05	494	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101466.0%26rnkId%3D426			
465	SVETLANA JURGELAITIENĖ			-	53. Nalšios	Lietuvos centro partija	I	0	2606	6078	0	15435	24994,65	3736	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104604.0%26rnkId%3D426			
466	MANTAS JURGELAITIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	139	-			I	72500	457	23000	0	31300	21405,44	2838	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104204.0%26rnkId%3D426			
467	VLADAS JURGELEVIČIUS	10. Lietuvos liaudies partija	32	-			I	2724	0	700	0	2896	4504,6	329	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103332.0%26rnkId%3D426			
468	PETRAS JURGILAS	7. Lietuvos Respublikos liberalų sąjūdis	111	-	55. Nemenčinės	7. Lietuvos Respublikos liberalų sąjūdis	I	77280	0	10000	0	83186	34571,51	4759	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103516.0%26rnkId%3D426			
469	VINCAS JURGUTIS	7. Lietuvos Respublikos liberalų sąjūdis	39	-	3. Antakalnio	7. Lietuvos Respublikos liberalų sąjūdis	I	4000	0	3000	0	0	26525,97	3771	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103476.0%26rnkId%3D426			
470	EVALDAS JURKEVIČIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	17	-	21. Marių	Lietuvos centro partija	I	92372	5000	61900	0	20000	40614,87	57	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099474.0%26rnkId%3D426			
471	ANDRIUS JURKUS	5. Partija Tvarka ir teisingumas	102	-			I	0	0	4000	0	0	14984,97	2248	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102324.0%26rnkId%3D426			
